Name,Calories per Serving,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Total Carbohydrate (g),Dietary Fiber (g),Sugar (g),Protein (g)
Brown Rice,170,10,2,0,0,0,250,115,35,3,1,4
Black Beans,140,10,1,0,0,0,330,360,24,14,1,9
Cheese,170,120,13,8,1,45,270,45,1,0,0,10
Cilantro,3,0,0,0,0,0,0,20,0,0,0,0
Mango Salsa,60,0,0,0,0,0,180,0,14,2,9,1
Guacamole,130,90,10,2,0,0,300,370,7,3,0,1
Pico de Gallo,10,0,0,0,0,0,70,95,3,1,2,0
Queso Diablo,160,110,13,8,0,40,700,130,7,2,2,5
Lettuce,9,0,0,0,0,0,0,20,0,0,0,0
Fajita Vegetables,35,15,2,0,0,0,180,120,4,1,2,1
Chicken,170,70,8,3,0,105,530,400,4,1,1,22
